id,HR,HR.95L,HR.95H,pvalue
RFC2|PML,4.162794731,2.973961765,5.826860378,9.41E-17
PTPN6|LARP4B,4.305942779,3.051319631,6.076434284,9.71E-17
PSMD14|COL1A2,0.275593769,0.203332023,0.373536469,9.82E-17
TGFBI|SNAP25,3.679285928,2.705310353,5.003915696,1.01E-16
UROS|TGFBI,0.235695262,0.167567637,0.331521392,1.02E-16
PKP4|PLIN3,0.271840181,0.199877137,0.36971254,1.02E-16
CYCS|CHI3L2,0.253636388,0.183456161,0.350663706,1.04E-16
COL1A2|SNAP25,3.638262529,2.681892007,4.935677572,1.04E-16
PIK3R3|COL1A1,0.281872397,0.209001762,0.380150137,1.06E-16
CDC5L|VAMP8,0.212792072,0.147637335,0.306700647,1.07E-16
MAPK10|ATG5,0.225381964,0.158508092,0.320469631,1.07E-16
WEE1|PSMB10,3.550763843,2.632127414,4.790012749,1.08E-16
CDC5L|S100A9,0.20997425,0.145193577,0.303657962,1.11E-16
CYCS|S100A11,0.236007867,0.167764212,0.33201189,1.12E-16
FASN|RPA1,0.242339796,0.173334655,0.338816128,1.13E-16
ABCC3|FPR1,3.874536864,2.812847458,5.336953437,1.13E-16
SSTR2|CHRNA1,0.252669831,0.182509701,0.34980082,1.14E-16
DIRAS3|NFIL3,4.629787881,3.222403019,6.651848231,1.15E-16
PSMD12|KLHL4,0.271090228,0.199079615,0.369148352,1.17E-16
CD4|LGALS3,0.281489071,0.208563384,0.379913749,1.17E-16
PRKACA|HMOX1,0.269335722,0.197479995,0.367337112,1.18E-16
CTSS|INPP5F,3.887145338,2.819199999,5.359640638,1.19E-16
OGDH|S100A11,0.220444571,0.154136139,0.315278487,1.20E-16
TNR|UROS,0.271122374,0.199075961,0.369242681,1.21E-16
RRM2|BRCA1,4.442637181,3.121476784,6.322976747,1.22E-16
BIRC5|GAS1,4.012910502,2.88811004,5.575774633,1.23E-16
SIRT1|COL1A2,0.197587614,0.134601872,0.29004697,1.24E-16
GRID2|BRCA1,0.190435171,0.128591475,0.282021452,1.25E-16
SSTR2|PTGS2,0.279624776,0.206783714,0.378124631,1.27E-16
NGFR|MAPK10,4.031043233,2.897444368,5.608152387,1.29E-16
SSTR2|BCAT1,0.16053468,0.104085543,0.247598109,1.29E-16
CHI3L2|RND2,3.821538891,2.781661665,5.250156652,1.30E-16
S100A11|SNAP25,3.592301906,2.653324427,4.86357147,1.31E-16
MAPK10|S100A9,0.210698282,0.145668632,0.304758585,1.34E-16
ITGA6|RAP2A,4.009671987,2.885126083,5.572536165,1.35E-16
CD4|DHTKD1,3.811439585,2.775444242,5.234142877,1.37E-16
NOD2|TNFRSF11B,0.248237919,0.178398282,0.345418486,1.38E-16
HSPB1|MAPK10,5.877847979,3.862173484,8.945506206,1.38E-16
SSTR2|EZH2,0.214178698,0.148626679,0.308642532,1.38E-16
GATA4|PRKCG,4.633292323,3.221000267,6.664823337,1.39E-16
ATG7|BAG1,4.184283877,2.979841143,5.875558705,1.41E-16
FASN|COL1A1,0.246230364,0.176582147,0.343349501,1.44E-16
