ID,group1,group2,batch
CGGA_776,CGGA301,CGGA301,2
CGGA_784,CGGA301,CGGA301,2
CGGA_792,CGGA301,CGGA301,2
CGGA_1046.1,CGGA301,CGGA301,2
CGGA_249,CGGA301,CGGA301,2
CGGA_331,CGGA301,CGGA301,2
CGGA_334,CGGA301,CGGA301,2
CGGA_353,CGGA301,CGGA301,2
CGGA_354,CGGA301,CGGA301,2
CGGA_405,CGGA301,CGGA301,2
CGGA_412,CGGA301,CGGA301,2
CGGA_476,CGGA301,CGGA301,2
CGGA_260,CGGA301,CGGA301,2
CGGA_364,CGGA301,CGGA301,2
CGGA_403,CGGA301,CGGA301,2
CGGA_489,CGGA301,CGGA301,2
CGGA_508,CGGA301,CGGA301,2
CGGA_558,CGGA301,CGGA301,2
CGGA_231,CGGA301,CGGA301,2
CGGA_329,CGGA301,CGGA301,2
CGGA_351,CGGA301,CGGA301,2
CGGA_352,CGGA301,CGGA301,2
CGGA_391,CGGA301,CGGA301,2
CGGA_393,CGGA301,CGGA301,2
CGGA_438,CGGA301,CGGA301,2
CGGA_498,CGGA301,CGGA301,2
CGGA_513,CGGA301,CGGA301,2
CGGA_562,CGGA301,CGGA301,2
CGGA_577,CGGA301,CGGA301,2
CGGA_596,CGGA301,CGGA301,2
CGGA_156,CGGA301,CGGA301,2
CGGA_178,CGGA301,CGGA301,2
CGGA_205,CGGA301,CGGA301,2
CGGA_210,CGGA301,CGGA301,2
CGGA_218,CGGA301,CGGA301,2
CGGA_255,CGGA301,CGGA301,2
CGGA_264,CGGA301,CGGA301,2
CGGA_308,CGGA301,CGGA301,2
CGGA_311,CGGA301,CGGA301,2
CGGA_324,CGGA301,CGGA301,2
CGGA_335,CGGA301,CGGA301,2
CGGA_345,CGGA301,CGGA301,2
CGGA_346,CGGA301,CGGA301,2
CGGA_366,CGGA301,CGGA301,2
CGGA_371,CGGA301,CGGA301,2
CGGA_401,CGGA301,CGGA301,2
CGGA_436,CGGA301,CGGA301,2
CGGA_464,CGGA301,CGGA301,2
CGGA_504,CGGA301,CGGA301,2
CGGA_628,CGGA301,CGGA301,2
CGGA_734,CGGA301,CGGA301,2
CGGA_275,CGGA301,CGGA301,2
CGGA_387,CGGA301,CGGA301,2
CGGA_484,CGGA301,CGGA301,2
